SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
513599,HIND.COPPER ,A ,Q,334.10,337.05,325.90,326.80,326.80,333.05,12469,575592,190435929.00,,INE531E01026,19-Jun-24,,
513629,TULSYAN NEC ,X ,Q,85.09,85.09,79.55,82.84,83.24,81.42,19,869,71727.00,,INE463D01016,19-Jun-24,,
513642,AXEL POLYMER,X ,Q,70.94,70.94,68.50,70.09,68.50,69.91,12,5305,371877.00,,INE197C01012,19-Jun-24,,
513683,NLCINDIA    ,A ,Q,235.75,237.35,228.00,236.35,236.35,235.70,6820,412309,96510606.00,,INE589A01014,19-Jun-24,,
513687,SPECTRA IND.,XT,Q,4.70,5.18,4.70,4.70,4.70,4.94,14,2252,10925.00,,INE848B01012,19-Jun-24,,
513693,KIC METALIKS,X ,Q,47.15,48.00,46.00,47.00,47.00,46.96,66,11980,559767.00,,INE434C01027,19-Jun-24,,
513699,SOLID STONE ,X ,Q,35.63,35.99,34.34,34.93,35.00,35.00,17,1490,51788.00,,INE584G01012,19-Jun-24,,
513709,SHILP GRAVUR,X ,Q,167.65,169.50,165.10,166.30,167.00,167.20,107,3109,520677.00,,INE960A01017,19-Jun-24,,
513713,WHITEORG    ,X ,Q,7.50,7.50,7.21,7.39,7.39,7.46,203,75240,554098.00,,INE146C01019,19-Jun-24,,
513721,MFSINTRCRP  ,Z ,Q,9.59,9.78,9.40,9.78,9.78,9.59,8,202,1937.00,,INE614F01019,19-Jun-24,,
513729,ARO GRANITE ,B ,Q,60.90,61.50,57.26,58.12,58.28,59.97,369,17557,1040371.00,,INE210C01013,19-Jun-24,,
514010,RUDRAECO    ,XT,Q,61.71,61.71,60.48,60.48,60.48,61.71,223,185285,11282328.00,,INE723D01021,19-Jun-24,,
514028,RAJKAMAL SYN,X ,Q,30.50,32.90,30.50,31.00,31.00,31.00,28,5686,176656.00,,INE376L01013,19-Jun-24,,
514030,DEEPAK SPINN,X ,Q,215.25,219.85,212.00,214.35,214.80,219.35,175,7624,1643938.00,,INE272C01013,19-Jun-24,,
514036,LOY.TEX MILL,B ,Q,587.25,614.70,587.25,592.60,587.50,590.00,41,962,578614.00,,INE970D01010,19-Jun-24,,
514043,HIMAT.SEIDE ,B ,Q,129.35,132.00,128.45,130.20,130.20,129.65,239,11622,1513723.00,,INE049A01027,19-Jun-24,,
514045,BSL LTD.    ,B ,Q,191.15,193.60,186.50,190.20,190.40,192.40,113,6224,1190505.00,,INE594B01012,19-Jun-24,,
514060,MARKOBENZ   ,XT,Q,24.00,24.00,22.51,22.51,22.51,23.69,179,97878,2212651.00,,INE229N01010,19-Jun-24,,
514087,PBM POLYTEX ,X ,Q,88.80,88.80,84.08,84.08,84.08,84.35,30,1063,90253.00,,INE501F01018,19-Jun-24,,
514113,ADHINATH TEX,X ,Q,26.10,27.50,26.10,26.16,26.16,26.21,77,7068,189414.00,,INE207C01019,19-Jun-24,,
514128,KONARK SYN. ,XT,Q,19.26,19.26,19.26,19.26,19.26,19.10,2,504,9707.00,,INE517D01019,19-Jun-24,,
514138,SURYALATA SP,X ,Q,397.10,412.00,397.10,404.40,404.40,397.05,208,6446,2611595.00,,INE132C01027,19-Jun-24,,
514140,SURYAVA SPIN,X ,Q,28.95,28.95,23.50,25.74,25.74,24.85,33,2074,53766.00,,INE431C01023,19-Jun-24,,
514142,TT LTD.     ,B ,Q,106.05,107.40,106.05,107.40,107.40,106.40,6,103,10927.00,,INE592B01016,19-Jun-24,,
514162,WELSPUNLIV  ,A ,Q,148.80,149.75,144.05,144.30,144.50,148.45,1822,162635,23725250.00,,INE192B01031,19-Jun-24,,
514165,IND.ACRYLICS,X ,Q,13.16,13.41,12.61,12.93,12.93,13.14,355,160390,2078672.00,,INE862B01013,19-Jun-24,,
